event_link,title,dates,description,info,img_url,location_url,location_name
/la-ciudad/agenda/detalle-actividad/index.html?id=138182,Manipulador de Alimentos para Celíacos,"['23/4/2025', '23/4/2025']",El carnet de manipulador de alimentos es un certificado que avala que la persona ha recibido toda la formación imprescindible para manipular alimentos de acuerdo a los principios de higiene y seguridad alimentaria.,"Evento:
IMFE: Jornadas y seminarios 
Otros lugares:
Online
Horario:
08.30 A 14.30 H (SOLO UN DÍA DURANTE 6 HORAS)-A través de la plataforma GoToMeeting
Web:
https://imfe.malaga.eu/imfeinscripciones/inscripcion/13753
Precio:
Gratuito
Email:
imfeformacion@malaga.eu
Fecha Inscripción:

 
 Desde 
 
 3/2/2025
 
 Hasta 
 
 13/4/2025

Destinatarios:

 
 Adultos",https://www.malaga.eu/visorcontenido/AGDImageDisplayer1/48700/ImagenAgenda48700,,
/la-ciudad/agenda/detalle-actividad/index.html?id=139228,Cita con el Tablero. Taller de Ajedrez Infantil. BPM Cristóbal Cuevas,"['23/4/2025', '23/4/2025']",Dirigido a: niños/as de 6 a 12 años. PREVIA INSCRIPCIÓN. Contenido: Taller de iniciación al ajedrez dirigido a los más pequeños y coordinado por Enrique Díaz Fernández.          2025/04/07 14:04:07,"Evento:
Plan de Fomento a la Lectura en las Bibliotecas Municipales 2025
Horario:
18:30 horas
Teléfono:
951 92 6184
Precio:
Gratuito
Email:
biblio.ccuevas@malaga.eu
Destinatarios:

 
 Infantil",/export/shared/corporativas/default/agenda-l.png,/la-ciudad/instalaciones-y-espacios/detalle-de-la-instalacion/?id=3011,"Biblioteca Pública Municipal ""Cristóbal Cuevas"" (Bailén-Miraflores)"
/la-ciudad/agenda/detalle-actividad/index.html?id=139231,Día del Libro: Irene Vallejo.,"['23/4/2025', '23/4/2025']","Charlará con la autora Ana Cabello, gerente de la Fundación Rafael Pérez Estrada.","Evento:
Fundación Rafael Pérez Estrada
Horario:
18:30 h.
Destinatarios:

 
 Todas la edades",/export/shared/corporativas/default/agenda-l.png,/la-ciudad/instalaciones-y-espacios/detalle-de-la-instalacion/?id=7991,Centre Pompidou Málaga
/la-ciudad/agenda/detalle-actividad/index.html?id=138905,"TEATRO ""EL CIRCO DE LAS EMOCIONES"" C.E.I.P. PROFESOR E. TIERNO GALVÁN","['23/4/2025', '23/4/2025']","Representación teatral correspondiente al proyecto del centro ""Teatro en Familia"" 


A través de los personajes las niñas y los niños podrán reconocer las diferentes emociones. Cada nuevo personaje que aparece durante la actuación ayudará a aprender y gestionar las emociones que se le van presentando. Descubrirán que el miedo, la vergüenza, la tristeza, la ira, forman parte de la vida y que hay que aprender a convivir con ellas, junto a la alegría, el optimismo y la calma. Aprenderán que para realizar un gran espectáculo deben tener en equilibrio todas sus emociones y recibirán la ayuda y consejos de sus compañeros y compañeras del circo.","Evento:
LA CAJA BLANCA - Auditorio 2025
Horario:
Primer pase: 17:30 horas Segundo pase: 19:00 horas

Precio:
 GRATUITA hasta completar aforo.



INFORMACIÓN en C.E.I.P. PROFESOR E. TIERNO GALVÁN 
Apto para todos los públicos..
Aforo condicionado a la Legislación Vigente..

Destinatarios:

 
 Todas la edades",,/la-ciudad/instalaciones-y-espacios/detalle-de-la-instalacion/?id=2770,La Caja Blanca
/la-ciudad/agenda/detalle-actividad/index.html?id=139155,Taller de Poesía Grupo 21. B.P.M. Manuel Altolaguirre,"['23/4/2025', '23/4/2025']","Dirigido. Público adulto. PREVIA INSCRIPCIÓN
Contenido. Taller de poesía donde se trabaja con distintos recursos poéticos  dando a conocer poetas de diferentes etapas y movimientos literarios. Organizado por la Asociación Grupo 21 y dirigido por Francisco Sánchez.","Evento:
Plan de Fomento a la Lectura en las Bibliotecas Municipales 2025
Horario:
17:30 horas
Teléfono:
951 92 6176
Precio:
Gratuito
Email:
biblio.maltolaguirre@malaga.eu
Destinatarios:

 
 Adultos",/export/shared/corporativas/default/agenda-l.png,/la-ciudad/instalaciones-y-espacios/detalle-de-la-instalacion/?id=116,"Biblioteca Pública Municipal ""Manuel Altolaguirre"" (Cruz)"
/la-ciudad/agenda/detalle-actividad/index.html?id=139328,"Tú, tu idea o proyecto y la IA","['23/4/2025', '23/4/2025']","El objetivo del taller es guiarte en el estudio en profundidad de tu idea o proyecto con las ultimas metodologías utilizando la IA más adecuada para conocer la viabilidad técnica, financiera y económica de la idea de negocio","Evento:
IMFE: UNIDAD DE EMPRESAS
Otros lugares:
Unidad de Empresas del IMFE en C/ Victoria nº9 
Horario:
De 10:00 h. a 13:30 h.
Web:
https://imfe.malaga.eu/imfeinscripciones/inscripcion//14089
Precio:
Gratuito
Email:
emprendedore@malaga.eu
Fecha Inscripción:

 
 Desde 
 
 11/4/2025
 
 Hasta 
 
 23/4/2025

Destinatarios:

 
 Adultos",https://www.malaga.eu/visorcontenido/AGDImageDisplayer1/48997/ImagenAgenda48997,,
/la-ciudad/agenda/detalle-actividad/index.html?id=139041,Mindfulness (Edición 1) [Plazas agotadas],"['23/4/2025', '30/4/2025']","Con el objeto de facilitar la inserción laboral se ha puesto en marcha el Programa de Competencias Profesionales para el Empleo que se compone de acciones formativas eminentemente prácticas orientados al desarrollo de competencias transversales indispensables, que permitirán afrontar con mayor garantía de éxito los procesos de selección a los que se enfrente la persona que busca empleo.
Los contenidos de este curso se corresponden con el Programa CTRP0006 del Catálogo de Especialidades Formativas del Servicio Público del Empleo Estatal (SEPE), quedando constancia de ello en el diploma acreditativo, siempre que se finalice satisfactoriamente el curso.","Evento:
IMFE: Competencias para el Empleo
Otros lugares:
Las sesiones presenciales son en C/ Concejal Muñoz Cerván 3. Módulo 5 (Tabacalera)
Horario:
De 09:00 a 14:00 horas (días laborables)
Teléfono:
951 92 76 46 
Web:
https://imfe.malaga.eu/proximos-cursos/index.html?categoria=Competencias%20para%20el%20Empleo&codCurso=2481
Precio:
Gratuito
Email:
daguilar@malaga.eu
Fecha Inscripción:

 
 Desde 
 
 28/3/2025
 
 Hasta 
 
 20/4/2025

Destinatarios:

 
 Adultos",https://www.malaga.eu/visorcontenido/AGDImageDisplayer1/48900/ImagenAgenda48900,,
/la-ciudad/agenda/detalle-actividad/index.html?id=139217,Gestión del Estrés y Trabajo Bajo Presión (CTRR0014),"['21/4/2025', '21/5/2025']","Módulo 1.- CONCEPTUALIZACIÓN DEL ESTRÉS
Módulo 2.- CÓMO MANEJAR EL TRABAJO BAJO PRESIÓN
Módulo 3.- TÉCNICAS DE RELAJACIÓN Y MINDFULNESS","Evento:
IMFE: Formación online
Otros lugares:
Online
Horario:
Online
Web:
https://imfe.malaga.eu/imfeinscripciones/inscripcion/14068
Precio:
Gratuito
Email:
froliva@malaga.eu
Fecha Inscripción:

 
 Desde 
 
 2/4/2025
 
 Hasta 
 
 21/4/2025

Destinatarios:

 
 Adultos",https://www.malaga.eu/visorcontenido/AGDImageDisplayer1/48938/ImagenAgenda48938,,
/la-ciudad/agenda/detalle-actividad/index.html?id=139148,Club de Lectura para Adultos. B.P.M. Manuel Altolaguirre,"['24/4/2025', '24/4/2025']","Dirigido a: Personas adultas. PREVIA INSCRIPCIÓN. Contenido: La lectura es un placer que se disfruta en solitario pero  se convierte en apasionante cuando las aventuras leídas se comparten con otras personas.
El club de lectura está formado por un número de  personas  que se reúnen regularmente en la biblioteca para compartir la experiencia de la lectura mediante el comentario del libro elegido; Los clubs de lectura se reúnen una vez al mes salvo en periodo estival y van dirigido tanto a público infantil como a adultos. Libro: La dama de la Cartuja, de Inma Aguilera","Evento:
Plan de Fomento a la Lectura en las Bibliotecas Municipales 2025
Horario:
18:00 h.
Teléfono:
951 92 6176
Precio:
Gratuito
Email:
biblio.maltolaguirre@malaga.eu
Destinatarios:

 
 Adultos",/export/shared/corporativas/default/agenda-l.png,/la-ciudad/instalaciones-y-espacios/detalle-de-la-instalacion/?id=116,"Biblioteca Pública Municipal ""Manuel Altolaguirre"" (Cruz)"
/la-ciudad/agenda/detalle-actividad/index.html?id=139152,Club de Lectura para Adultos. B.P.M. Serafín Estébanez Calderón,"['24/4/2025', '24/4/2025']",Dirigido a: Adultos a partir de 18 años. PREVIA INSCRIPCIÓN. Contenido: La lectura es un placer que se disfruta en solitario pero  se convierte en apasionante cuando las aventuras leídas se comparten con otras personas. El club de lectura está formado por un número de  personas  que se reúnen regularmente en la biblioteca para compartir la experiencia de la lectura mediante el comentario del libro elegido; Los clubs de lectura se reúnen una vez al mes salvo en periodo estival y van dirigido tanto a público infantil como a adultos. Libro: Madre de leche y miel¿ de Najat El Hachmi,"Evento:
Plan de Fomento a la Lectura en las Bibliotecas Municipales 2025
Horario:
a las 18:00 h.
Precio:
Gratuito
Email:
biblio.dalonso@malaga.eu
Destinatarios:

 
 Adultos",/export/shared/corporativas/default/agenda-l.png,/la-ciudad/instalaciones-y-espacios/detalle-de-la-instalacion/?id=112,"Biblioteca Pública Municipal ""Dámaso Alonso"" (Jardín de Málaga)"
